Symbol,Group,Family,Subfamily
BMX,TK,Tec,
PRKX,AGC,PKA,
GUCY2F,RGC,RGC,
NEK2,Other,NEK,NEK2
NEK3,Other,NEK,NEK1
NEK4,Other,NEK,NEK4
JAK3,TK,Jak,
MAP2K6,STE,STE7,MEK3
BLVRA,Atypical,BLVRA,
PLK1,Other,PLK,PLK1
DAPK1,CAMK,DAPK,DAPK
LIMK1,TKL,LISK,LIMK
LIMK2,TKL,LISK,LIMK
MAPK12,CMGC,MAPK,p38
MAPK10,CMGC,MAPK,JNK
PRKAA2,CAMK,CAMKL,AMPK
EPHB3,TK,Eph,
EPHA5,TK,Eph,
EPHB4,TK,Eph,
EPHB1,TK,Eph,
EPHA4,TK,Eph,
NME5,Other,NDK,
HUNK,CAMK,CAMKL,HUNK
SIK1,CAMK,CAMKL,QIK
RIPK4,TKL,RIPK,
CSNK2A1,Other,CK2,
SRPK2,CMGC,SRPK,
CSNK1G2,CK1,CK1,CK1-G
PRKDC,Atypical,PIKK,DNAPK
MAP3K9,TKL,MLK,MLK
CDK3,CMGC,CDK,CDK1
CDKL1,CMGC,CDKL,
CDK6,CMGC,CDK,CDK4
CDK5,CMGC,CDK,CDK5
CDK16,CMGC,CDK,PCTAIRE
CDK17,CMGC,CDK,PCTAIRE
ROR1,TK,Ror,
ROR2,TK,Ror,
PRKCE,AGC,PKC,PKCh
MAP2K1,STE,STE7,MEK1
TEK,TK,Tie,
MAP3K10,TKL,MLK,MLK
GUCY2D,RGC,RGC,
PRKCQ,AGC,PKC,PKCd
ACVR1,TKL,STKR,STKR1
MST1R,TK,Met,
PTK2,TK,FAK,
PRKCZ,AGC,PKC,PKCi
PRKCD,AGC,PKC,PKCd
RNASEL,Other,Other-Unique,
BTK,TK,Tec,
TYRO3,TK,Axl,
CDK18,CMGC,CDK,PCTAIRE
TNK2,TK,Ack,
DDR1,TK,DDR,
ITK,TK,Tec,
DMPK,AGC,DMPK,GEK
MAP4K2,STE,STE20,KHS
MAP3K12,TKL,MLK,LZK
MERTK,TK,Axl,
ABR,Atypical,BCR,
STK4,STE,STE20,MST
PRKAA1,CAMK,CAMKL,AMPK
PAK1,STE,STE20,PAKA
MAP2K5,STE,STE7,MEK5
MAPK7,CMGC,MAPK,ERK5
PAK2,STE,STE20,PAKA
STK3,STE,STE20,MST
NME3,Other,NDK,
MAP3K1,STE,STE11,MEKK1
PRKG2,AGC,PKG,
TRIM28,Atypical,TIF1,
PTK7,TK,CCK4,
ATM,Atypical,PIKK,ATM
ILK,TKL,MLK,ILK
ROCK1,AGC,DMPK,ROCK
TNK1,TK,Ack,
PRPF4B,CMGC,DYRK,PRP4
ATR,Atypical,PIKK,ATR
RIPK1,TKL,RIPK,
CAMK2B,CAMK,CAMK2,
CAMK2G,CAMK,CAMK2,
CAMK2D,CAMK,CAMK2,
DYRK1A,CMGC,DYRK,DYRK1
ACVR2B,TKL,STKR,STKR2
BMPR2,TKL,STKR,STKR2
PTK6,TK,Src,SRM
PRKG1,AGC,PKG,
CDK13,CMGC,CDK,CRK7
CAMK1,CAMK,CAMK1,
IKBKE,Other,IKK,
PTK2B,TK,FAK,
FASTK,Atypical,FAST,
MELK,CAMK,CAMKL,MELK
BRD3,Atypical,BRD,
PDK1,Atypical,PDHK,PDHK
PDK2,Atypical,PDHK,PDHK
PDK3,Atypical,PDHK,PDHK
CDK10,CMGC,CDK,CDK10
PRKD1,CAMK,PKD,
STK38,AGC,NDR,NDR
ERBB4,TK,EGFR,
RPS6KA2,AGC,RSK,RSKp90
EPHA7,TK,Eph,
RPS6KA1,AGC,RSK,RSKp90
TESK1,TKL,LISK,TESK
MYLK,CAMK,MLCK,
MAPK11,CMGC,MAPK,p38
SPEG,CAMK,Trio,
STK11,CAMK,CAMKL,LKB
GRK1,AGC,GRK,GRK
NTRK3,TK,Trk,
PKN1,AGC,PKN,
PKN2,AGC,PKN,
MAPK14,CMGC,MAPK,p38
CAMK4,CAMK,CAMK1,
MAP3K11,TKL,MLK,MLK
NTRK2,TK,Trk,
MAPKAPK3,CAMK,MAPKAPK,MK2
PDK4,AGC,PDPK1,
MAPK6,CMGC,MAPK,ERK3
AMHR2,TKL,STKR,STKR2
PHKG1,CAMK,PHK,
DDR2,TK,DDR,
AAK1,Other,NAK,BIKE
MYLK3,CAMK,MLCK,
LRRK1,TKL,LRRK,
ADCK5,Atypical,ABC1,ABC1-B
PLK5,Other,PLK,PLK2
PKDCC,Other,SgK493,
SBK1,Other,NKF1,
MAP3K19,STE,STE11,MEKK15
PAN3,Other,PAN3,
BRDT,Atypical,BRD,
TNNI3K,TKL,MLK,HH498
EPHA10,TK,Eph,
CDKL4,CMGC,CDKL,
LRRK2,TKL,LRRK,
MAP3K21,TKL,MLK,MLK
TTBK1,CK1,TTBK,
OBSCN,CAMK,Trio,
CDC42BPA,AGC,DMPK,GEK
PDPK2P,AGC,PDPK1,
CDC42BPG,AGC,DMPK,GEK
TTBK2,CK1,TTBK,
STYK1,TK,TK-Unique,
MAST2,AGC,MAST,MAST
PNCK,CAMK,CAMK1,
NEK5,Other,NEK,NEK1
SCYL2,Other,SCY1,
PKN3,AGC,PKN,
ULK3,Other,ULK,ULK
TSSK4,CAMK,TSSK,
GASK1B,Other,PKL,FJ
KSR2,TKL,RAF,KSR
